<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сбербанк;1;01.09.2021;11:25:00;328,6;328,73;328,58;328,61;1094;0
Сбербанк;1;01.09.2021;11:26:00;328,73;328,86;328,65;328,77;455;0
Сбербанк;1;01.09.2021;11:27:00;328,75;328,85;328,73;328,85;907;0
Сбербанк;1;01.09.2021;11:28:00;328,88;328,92;328,79;328,82;493;0
Сбербанк;1;01.09.2021;11:29:00;328,9;328,91;328,8;328,9;1547;0
Сбербанк;1;01.09.2021;11:30:00;328,9;328,9;328,78;328,78;1547;0
Сбербанк;1;01.09.2021;11:31:00;328,78;328,87;328,78;328,78;1089;0
Сбербанк;1;01.09.2021;11:32:00;328,78;328,87;328,6;328,68;25567;0
Сбербанк;1;01.09.2021;11:33:00;328,68;328,76;328,58;328,76;2189;0
Сбербанк;1;01.09.2021;11:34:00;328,76;328,87;328,63;328,79;2035;0
Сбербанк;1;01.09.2021;11:35:00;328,79;328,97;328,79;328,97;1137;0
Сбербанк;1;01.09.2021;11:36:00;328,87;328,97;328,87;328,9;328;0
Сбербанк;1;01.09.2021;11:37:00;328,9;328,95;328,85;328,85;428;0
Сбербанк;1;01.09.2021;11:38:00;328,93;328,95;328,79;328,89;752;0
Сбербанк;1;01.09.2021;11:39:00;328,89;328,9;328,79;328,8;231;0
Сбербанк;1;01.09.2021;11:40:00;328,8;328,9;328,66;328,66;571;0
Сбербанк;1;01.09.2021;11:41:00;328,69;328,75;328,59;328,68;808;0
Сбербанк;1;01.09.2021;11:42:00;328,76;328,76;328,62;328,68;1426;0
Сбербанк;1;01.09.2021;11:43:00;328,68;328,72;328,58;328,58;2054;0
Сбербанк;1;01.09.2021;11:44:00;328,58;328,67;328,58;328,6;2366;0
Сбербанк;1;01.09.2021;11:45:00;328,65;328,65;328,58;328,58;610;0
Сбербанк;1;01.09.2021;11:46:00;328,58;328,68;328,58;328,68;1182;0
Сбербанк;1;01.09.2021;11:47:00;328,64;328,68;328,58;328,59;869;0
Сбербанк;1;01.09.2021;11:48:00;328,59;328,67;328,58;328,59;262;0
Сбербанк;1;01.09.2021;11:49:00;328,6;328,65;328,16;328,38;29585;0
Сбербанк;1;01.09.2021;11:50:00;328,38;328,38;328,3;328,35;908;0
Сбербанк;1;01.09.2021;11:51:00;328,35;328,35;328,23;328,31;2431;0
Сбербанк;1;01.09.2021;11:52:00;328,31;328,32;328,28;328,29;676;0
Сбербанк;1;01.09.2021;11:53:00;328,28;328,32;328,24;328,24;14570;0
Сбербанк;1;01.09.2021;11:54:00;328,31;328,32;328,21;328,26;2010;0
Сбербанк;1;01.09.2021;11:55:00;328,21;328,26;328,21;328,26;969;0
Сбербанк;1;01.09.2021;11:56:00;328,21;328,25;328,19;328,22;1190;0
Сбербанк;1;01.09.2021;11:57:00;328,21;328,29;328,16;328,21;955;0
Сбербанк;1;01.09.2021;11:58:00;328,21;328,38;328,2;328,38;3314;0
Сбербанк;1;01.09.2021;11:59:00;328,38;328,39;328,26;328,26;2286;0
Сбербанк;1;01.09.2021;12:00:00;328,25;328,27;328,12;328,12;2826;0
Сбербанк;1;01.09.2021;12:01:00;328,12;328,18;328,03;328,08;4497;0
Сбербанк;1;01.09.2021;12:02:00;328,11;328,35;328,08;328,3;859;0
Сбербанк;1;01.09.2021;12:03:00;328,31;328,39;328,3;328,39;892;0
Сбербанк;1;01.09.2021;12:04:00;328,36;328,39;328,31;328,39;1237;0
Сбербанк;1;01.09.2021;12:05:00;328,39;328,5;328,39;328,44;1844;0
Сбербанк;1;01.09.2021;12:06:00;328,5;328,51;328,44;328,44;2770;0
Сбербанк;1;01.09.2021;12:07:00;328,5;328,5;328,35;328,4;1048;0
Сбербанк;1;01.09.2021;12:08:00;328,41;328,45;328,41;328,45;400;0
Сбербанк;1;01.09.2021;12:09:00;328,45;328,57;328,44;328,51;4041;0
Сбербанк;1;01.09.2021;12:10:00;328,51;328,57;328,48;328,52;930;0
Сбербанк;1;01.09.2021;12:11:00;328,52;328,57;328,52;328,57;158;0
Сбербанк;1;01.09.2021;12:12:00;328,56;328,56;328,5;328,55;338;0
Сбербанк;1;01.09.2021;12:13:00;328,55;328,55;328,47;328,47;484;0
Сбербанк;1;01.09.2021;12:14:00;328,48;328,53;328,48;328,5;435;0
Сбербанк;1;01.09.2021;12:15:00;328,53;328,53;328,5;328,53;51;0
Сбербанк;1;01.09.2021;12:16:00;328,56;328,66;328,53;328,66;1037;0
Сбербанк;1;01.09.2021;12:17:00;328,66;328,7;328,61;328,67;1102;0
Сбербанк;1;01.09.2021;12:18:00;328,67;328,7;328,62;328,7;465;0
Сбербанк;1;01.09.2021;12:19:00;328,7;328,7;328,67;328,7;1169;0
Сбербанк;1;01.09.2021;12:20:00;328,7;328,7;328,61;328,69;1598;0
Сбербанк;1;01.09.2021;12:21:00;328,65;328,7;328,65;328,65;3203;0
Сбербанк;1;01.09.2021;12:22:00;328,65;328,7;328,65;328,69;632;0
Сбербанк;1;01.09.2021;12:23:00;328,69;328,7;328,52;328,63;2750;0
Сбербанк;1;01.09.2021;12:24:00;328,63;328,69;328,56;328,69;953;0
Сбербанк;1;01.09.2021;12:25:00;328,69;328,99;328,65;328,98;12793;0
Сбербанк;1;01.09.2021;12:26:00;328,98;328,99;328,93;328,95;15208;0
Сбербанк;1;01.09.2021;12:27:00;328,99;328,99;328,95;328,99;1740;0
Сбербанк;1;01.09.2021;12:28:00;328,99;328,99;328,95;328,99;207;0
Сбербанк;1;01.09.2021;12:29:00;328,96;329,02;328,95;329,02;3471;0
Сбербанк;1;01.09.2021;12:30:00;329,02;329,03;329,01;329,02;1171;0
Сбербанк;1;01.09.2021;12:31:00;329,02;329,4;329,02;329,25;13524;0
Сбербанк;1;01.09.2021;12:32:00;329,31;329,4;329,3;329,39;3267;0
Сбербанк;1;01.09.2021;12:33:00;329,35;329,4;329,29;329,37;629;0
Сбербанк;1;01.09.2021;12:34:00;329,31;329,47;329,29;329,47;2602;0
Сбербанк;1;01.09.2021;12:35:00;329,47;329,47;329,28;329,28;7648;0
Сбербанк;1;01.09.2021;12:36:00;329,28;329,34;329,27;329,27;1098;0
ВТБ ао;1;01.09.2021;09:59:00;0,052995;0,052995;0,052995;0,052995;13929;0
ВТБ ао;1;01.09.2021;10:00:00;0,05295;0,0531;0,052895;0,052985;73615;0
ВТБ ао;1;01.09.2021;10:01:00;0,05298;0,05298;0,05285;0,0529;23781;0
ВТБ ао;1;01.09.2021;10:02:00;0,0529;0,05292;0,052865;0,052905;9684;0
ВТБ ао;1;01.09.2021;10:03:00;0,052905;0,052905;0,052815;0,052865;5185;0
ВТБ ао;1;01.09.2021;10:04:00;0,052865;0,05287;0,052805;0,05284;15761;0
ВТБ ао;1;01.09.2021;10:05:00;0,05286;0,05286;0,05282;0,05283;4099;0
ВТБ ао;1;01.09.2021;10:06:00;0,05283;0,052895;0,05283;0,052865;10937;0
ВТБ ао;1;01.09.2021;10:07:00;0,052885;0,052895;0,052865;0,05289;1237;0
ВТБ ао;1;01.09.2021;10:08:00;0,052895;0,053;0,052895;0,052955;34585;0
ВТБ ао;1;01.09.2021;10:09:00;0,05293;0,053;0,05291;0,052925;18896;0
ВТБ ао;1;01.09.2021;10:10:00;0,052925;0,05295;0,05285;0,05288;30603;0
ВТБ ао;1;01.09.2021;10:11:00;0,052925;0,052945;0,052905;0,05294;22614;0
ВТБ ао;1;01.09.2021;10:12:00;0,05294;0,05294;0,05286;0,052895;5683;0
ВТБ ао;1;01.09.2021;10:13:00;0,0529;0,0529;0,05285;0,05287;2245;0
ВТБ ао;1;01.09.2021;10:14:00;0,05285;0,05293;0,052835;0,05291;14172;0
ВТБ ао;1;01.09.2021;10:15:00;0,05293;0,05294;0,05282;0,052855;20837;0
ВТБ ао;1;01.09.2021;10:16:00;0,05288;0,05288;0,052805;0,052825;10245;0
ВТБ ао;1;01.09.2021;10:17:00;0,05282;0,052825;0,052705;0,05272;16286;0
ВТБ ао;1;01.09.2021;10:18:00;0,052755;0,0528;0,0527;0,0528;18000;0
ВТБ ао;1;01.09.2021;10:19:00;0,0528;0,05284;0,052765;0,05283;4635;0
ВТБ ао;1;01.09.2021;10:20:00;0,052825;0,05285;0,05277;0,052795;5354;0
ВТБ ао;1;01.09.2021;10:21:00;0,052785;0,052875;0,052785;0,05284;8152;0
ВТБ ао;1;01.09.2021;10:22:00;0,052815;0,0529;0,052815;0,052885;6804;0
ВТБ ао;1;01.09.2021;10:23:00;0,052885;0,0529;0,05284;0,052845;10647;0
ВТБ ао;1;01.09.2021;10:24:00;0,05286;0,0529;0,052835;0,05289;13094;0
ВТБ ао;1;01.09.2021;10:25:00;0,052865;0,0529;0,052865;0,052895;1484;0
ВТБ ао;1;01.09.2021;10:26:00;0,05287;0,0529;0,05285;0,0529;4954;0
ВТБ ао;1;01.09.2021;10:27:00;0,0529;0,0529;0,052875;0,0529;6359;0
ВТБ ао;1;01.09.2021;10:28:00;0,0529;0,0529;0,052875;0,0529;4616;0
ВТБ ао;1;01.09.2021;10:29:00;0,0529;0,0529;0,05287;0,052895;12159;0
ВТБ ао;1;01.09.2021;10:30:00;0,052895;0,0529;0,052885;0,052895;40203;0
ВТБ ао;1;01.09.2021;10:31:00;0,052895;0,0529;0,052875;0,0529;28186;0
ВТБ ао;1;01.09.2021;10:32:00;0,052895;0,0529;0,052875;0,05288;4744;0
ВТБ ао;1;01.09.2021;10:33:00;0,052895;0,052895;0,05287;0,052885;3835;0
ВТБ ао;1;01.09.2021;10:34:00;0,05287;0,052885;0,05283;0,052875;15738;0
ВТБ ао;1;01.09.2021;10:35:00;0,05287;0,052875;0,05283;0,05285;2135;0
ВТБ ао;1;01.09.2021;10:36:00;0,05285;0,05288;0,05284;0,05284;9017;0
ВТБ ао;1;01.09.2021;10:37:00;0,05288;0,05288;0,05285;0,05285;523;0
ВТБ ао;1;01.09.2021;10:38:00;0,05285;0,052875;0,052845;0,052845;2661;0
ВТБ ао;1;01.09.2021;10:39:00;0,05285;0,05285;0,05284;0,052845;582;0
ВТБ ао;1;01.09.2021;10:40:00;0,05285;0,052875;0,052825;0,05285;4580;0
ВТБ ао;1;01.09.2021;10:41:00;0,052845;0,052845;0,0528;0,05283;18188;0
ВТБ ао;1;01.09.2021;10:42:00;0,05282;0,052835;0,05281;0,05281;347;0
ВТБ ао;1;01.09.2021;10:43:00;0,052825;0,052835;0,0528;0,052835;1921;0
ВТБ ао;1;01.09.2021;10:44:00;0,05284;0,05288;0,052835;0,052835;13055;0
ВТБ ао;1;01.09.2021;10:45:00;0,052845;0,052865;0,05281;0,052825;8165;0
ВТБ ао;1;01.09.2021;10:46:00;0,05281;0,05282;0,05278;0,0528;31513;0
ВТБ ао;1;01.09.2021;10:47:00;0,0528;0,0528;0,052705;0,052705;15559;0
ВТБ ао;1;01.09.2021;10:48:00;0,05273;0,05278;0,0527;0,05278;12804;0
ВТБ ао;1;01.09.2021;10:49:00;0,05278;0,052815;0,05276;0,05278;6060;0
ВТБ ао;1;01.09.2021;10:50:00;0,0528;0,05281;0,05278;0,052805;1541;0
ВТБ ао;1;01.09.2021;10:51:00;0,052805;0,05281;0,05277;0,05279;1160;0
ВТБ ао;1;01.09.2021;10:52:00;0,05279;0,0528;0,05277;0,052775;1892;0
ВТБ ао;1;01.09.2021;10:53:00;0,052775;0,05278;0,05273;0,05273;2622;0
ВТБ ао;1;01.09.2021;10:54:00;0,05274;0,052755;0,052725;0,05274;3536;0
ВТБ ао;1;01.09.2021;10:55:00;0,05275;0,05277;0,052725;0,052725;6996;0
ВТБ ао;1;01.09.2021;10:56:00;0,05274;0,052755;0,05273;0,05275;8750;0
ВТБ ао;1;01.09.2021;10:57:00;0,05275;0,0528;0,05275;0,0528;5425;0
ВТБ ао;1;01.09.2021;10:58:00;0,0528;0,0528;0,052755;0,05276;3697;0
ВТБ ао;1;01.09.2021;10:59:00;0,052785;0,0528;0,05276;0,05278;1202;0
ВТБ ао;1;01.09.2021;11:00:00;0,05278;0,05279;0,052725;0,052735;14809;0
ВТБ ао;1;01.09.2021;11:01:00;0,052725;0,052745;0,05271;0,05271;5300;0
ВТБ ао;1;01.09.2021;11:02:00;0,052715;0,052745;0,0527;0,052745;10449;0
ВТБ ао;1;01.09.2021;11:03:00;0,052725;0,05274;0,052705;0,052705;5199;0
ВТБ ао;1;01.09.2021;11:04:00;0,052705;0,05273;0,05269;0,0527;20553;0
ВТБ ао;1;01.09.2021;11:05:00;0,052705;0,052725;0,052655;0,052685;5991;0
ВТБ ао;1;01.09.2021;11:06:00;0,052705;0,052705;0,052645;0,052655;5582;0
ВТБ ао;1;01.09.2021;11:07:00;0,05265;0,05267;0,0526;0,05262;13167;0
ВТБ ао;1;01.09.2021;11:08:00;0,05264;0,052755;0,05262;0,05273;7474;0
ВТБ ао;1;01.09.2021;11:09:00;0,05273;0,052755;0,0527;0,052755;8780;0
ВТБ ао;1;01.09.2021;11:10:00;0,052745;0,05276;0,052715;0,052715;2547;0
ВТБ ао;1;01.09.2021;11:11:00;0,0527;0,052745;0,0527;0,052735;2464;0
ВТБ ао;1;01.09.2021;11:12:00;0,052735;0,052745;0,052715;0,052715;1406;0
ВТБ ао;1;01.09.2021;11:13:00;0,05271;0,05274;0,0527;0,0527;1380;0
ВТБ ао;1;01.09.2021;11:14:00;0,052735;0,052735;0,0527;0,0527;2153;0
ВТБ ао;1;01.09.2021;11:15:00;0,05272;0,052735;0,052685;0,052685;1327;0
ВТБ ао;1;01.09.2021;11:16:00;0,05271;0,05271;0,052665;0,052695;2868;0
ВТБ ао;1;01.09.2021;11:17:00;0,052695;0,052695;0,052625;0,052625;5379;0
ВТБ ао;1;01.09.2021;11:18:00;0,052625;0,05272;0,05257;0,052665;20835;0
ВТБ ао;1;01.09.2021;11:19:00;0,05266;0,05266;0,052635;0,052635;5425;0
ВТБ ао;1;01.09.2021;11:20:00;0,052635;0,052745;0,052635;0,052745;14521;0
ВТБ ао;1;01.09.2021;11:21:00;0,052745;0,05278;0,05273;0,052745;5727;0
ВТБ ао;1;01.09.2021;11:22:00;0,052765;0,052765;0,052725;0,05275;1390;0
ВТБ ао;1;01.09.2021;11:23:00;0,052745;0,052765;0,05274;0,052745;535;0
ВТБ ао;1;01.09.2021;11:24:00;0,052745;0,05276;0,05274;0,052755;1025;0
ВТБ ао;1;01.09.2021;11:25:00;0,052755;0,052755;0,052725;0,052755;2436;0
ВТБ ао;1;01.09.2021;11:26:00;0,05273;0,052795;0,05272;0,052725;9572;0
ВТБ ао;1;01.09.2021;11:27:00;0,05273;0,052745;0,05271;0,05271;7068;0
ВТБ ао;1;01.09.2021;11:28:00;0,052725;0,05275;0,05271;0,05274;1338;0
ВТБ ао;1;01.09.2021;11:29:00;0,05274;0,05275;0,052735;0,052745;391;0
ВТБ ао;1;01.09.2021;11:30:00;0,052745;0,052785;0,052685;0,05269;33346;0
ВТБ ао;1;01.09.2021;11:31:00;0,0527;0,05277;0,052675;0,05269;13242;0
ВТБ ао;1;01.09.2021;11:32:00;0,052685;0,05269;0,052675;0,052675;675;0
ВТБ ао;1;01.09.2021;11:33:00;0,052675;0,05268;0,052655;0,052665;1912;0
ВТБ ао;1;01.09.2021;11:34:00;0,05268;0,05274;0,052675;0,052705;10131;0
ВТБ ао;1;01.09.2021;11:35:00;0,052735;0,052735;0,05263;0,052675;3937;0
ВТБ ао;1;01.09.2021;11:36:00;0,052665;0,05277;0,052635;0,052655;15616;0
ВТБ ао;1;01.09.2021;11:37:00;0,05267;0,05268;0,05263;0,052645;2006;0
ВТБ ао;1;01.09.2021;11:38:00;0,052645;0,052645;0,05262;0,05264;6018;0
ВТБ ао;1;01.09.2021;11:39:00;0,05264;0,05265;0,05262;0,052645;1111;0
ВТБ ао;1;01.09.2021;11:40:00;0,05265;0,05265;0,05259;0,052595;19357;0
ВТБ ао;1;01.09.2021;11:41:00;0,052595;0,052595;0,05257;0,052595;3982;0
ВТБ ао;1;01.09.2021;11:42:00;0,0526;0,052615;0,05259;0,052595;2757;0
ВТБ ао;1;01.09.2021;11:43:00;0,052595;0,052605;0,052585;0,052605;435;0
ВТБ ао;1;01.09.2021;11:44:00;0,0526;0,0526;0,052585;0,052585;646;0
ВТБ ао;1;01.09.2021;11:45:00;0,052585;0,052615;0,05258;0,052615;2892;0
ВТБ ао;1;01.09.2021;11:46:00;0,0526;0,052725;0,052585;0,052685;50038;0
ВТБ ао;1;01.09.2021;11:47:00;0,05269;0,05275;0,05266;0,05266;11202;0
ВТБ ао;1;01.09.2021;11:48:00;0,052655;0,05267;0,052645;0,052655;897;0
ВТБ ао;1;01.09.2021;11:49:00;0,052655;0,05267;0,052635;0,052645;654;0
ВТБ ао;1;01.09.2021;11:50:00;0,052625;0,052645;0,052615;0,05262;739;0
ВТБ ао;1;01.09.2021;11:51:00;0,05262;0,052645;0,052615;0,052645;1822;0
ВТБ ао;1;01.09.2021;11:52:00;0,052645;0,052645;0,05262;0,05264;697;0
ВТБ ао;1;01.09.2021;11:53:00;0,05264;0,05264;0,05262;0,052635;926;0
ВТБ ао;1;01.09.2021;11:54:00;0,05262;0,05264;0,0526;0,052605;6011;0
ВТБ ао;1;01.09.2021;11:55:00;0,052605;0,05265;0,0526;0,05261;4053;0
ВТБ ао;1;01.09.2021;11:56:00;0,052605;0,05262;0,052555;0,052575;24674;0
