<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ГМКНорНик;D;18/01/21;000000;25874;216668
ГМКНорНик;D;19/01/21;000000;25826;193506
ГМКНорНик;D;20/01/21;000000;26550;242917
ГМКНорНик;D;21/01/21;000000;26538;329399
ГМКНорНик;D;22/01/21;000000;26172;338659
ГМКНорНик;D;25/01/21;000000;25982;261504
ГМКНорНик;D;26/01/21;000000;25768;179508
ГМКНорНик;D;27/01/21;000000;24996;423721
ГМКНорНик;D;28/01/21;000000;25230;280564
ГМКНорНик;D;29/01/21;000000;24364;354521
ГМКНорНик;D;01/02/21;000000;24866;288509
ГМКНорНик;D;02/02/21;000000;24770;222485
ГМКНорНик;D;03/02/21;000000;25312;318413
ГМКНорНик;D;04/02/21;000000;25766;285893
ГМКНорНик;D;05/02/21;000000;25478;601830
ГМКНорНик;D;08/02/21;000000;25804;207758
ГМКНорНик;D;09/02/21;000000;25458;285889
ГМКНорНик;D;10/02/21;000000;25342;308827
ГМКНорНик;D;11/02/21;000000;25432;212661
ГМКНорНик;D;12/02/21;000000;25390;227908
ГМКНорНик;D;15/02/21;000000;26328;303494
ГМКНорНик;D;16/02/21;000000;26208;284086
ГМКНорНик;D;17/02/21;000000;26488;300735
ГМКНорНик;D;18/02/21;000000;26702;321684
ГМКНорНик;D;19/02/21;000000;28130;576662
ГМКНорНик;D;20/02/21;000000;27088;495926
ГМКНорНик;D;22/02/21;000000;26156;1026319
ГМКНорНик;D;24/02/21;000000;24846;1030385
ГМКНорНик;D;25/02/21;000000;23204;1718063
ГМКНорНик;D;26/02/21;000000;23502;1087035
ГМКНорНик;D;01/03/21;000000;24268;740109
ГМКНорНик;D;02/03/21;000000;23774;579228
ГМКНорНик;D;03/03/21;000000;23304;727473
ГМКНорНик;D;04/03/21;000000;22172;1096690
ГМКНорНик;D;05/03/21;000000;22348;777434
ГМКНорНик;D;09/03/21;000000;22954;802826
ГМКНорНик;D;10/03/21;000000;23164;590705
ГМКНорНик;D;11/03/21;000000;23396;408840
ГМКНорНик;D;12/03/21;000000;23746;407833
ГМКНорНик;D;15/03/21;000000;24114;618546
ГМКНорНик;D;16/03/21;000000;22846;1627466
ГМКНорНик;D;17/03/21;000000;22878;809215
ГМКНорНик;D;18/03/21;000000;22596;634176
ГМКНорНик;D;19/03/21;000000;22686;364317
ГМКНорНик;D;22/03/21;000000;22766;202295
ГМКНорНик;D;23/03/21;000000;22238;385657
ГМКНорНик;D;24/03/21;000000;21326;994648
ГМКНорНик;D;25/03/21;000000;21252;519680
ГМКНорНик;D;26/03/21;000000;22206;600725
ГМКНорНик;D;29/03/21;000000;23116;1240474
ГМКНорНик;D;30/03/21;000000;23172;532021
ГМКНорНик;D;31/03/21;000000;23704;652244
ГМКНорНик;D;01/04/21;000000;23776;486770
ГМКНорНик;D;02/04/21;000000;23860;136955
ГМКНорНик;D;05/04/21;000000;23736;291564
ГМКНорНик;D;06/04/21;000000;23180;380921
ГМКНорНик;D;07/04/21;000000;23602;545222
ГМКНорНик;D;08/04/21;000000;23924;378770
ГМКНорНик;D;09/04/21;000000;24410;1018068
ГМКНорНик;D;12/04/21;000000;25432;958864
ГМКНорНик;D;13/04/21;000000;25384;497190
ГМКНорНик;D;14/04/21;000000;24886;395273
ГМКНорНик;D;15/04/21;000000;25112;447158
ГМКНорНик;D;16/04/21;000000;25480;343326
ГМКНорНик;D;19/04/21;000000;25240;270607
