<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
БСП ао;W;31/08/15;000000;37,75;333110
БСП ао;W;07/09/15;000000;37,05;160960
БСП ао;W;14/09/15;000000;37;85560
БСП ао;W;21/09/15;000000;36,4;143150
БСП ао;W;28/09/15;000000;36,3;52330
БСП ао;W;05/10/15;000000;37,1;199180
БСП ао;W;12/10/15;000000;37,35;52000
БСП ао;W;19/10/15;000000;39,8;198550
БСП ао;W;26/10/15;000000;37,9;452520
БСП ао;W;02/11/15;000000;37,5;480330
БСП ао;W;09/11/15;000000;37,9;718450
БСП ао;W;16/11/15;000000;39,85;756110
БСП ао;W;23/11/15;000000;39,15;382790
БСП ао;W;30/11/15;000000;41,9;722680
БСП ао;W;07/12/15;000000;44,1;688410
БСП ао;W;14/12/15;000000;44,25;529530
БСП ао;W;21/12/15;000000;44,1;228790
БСП ао;W;28/12/15;000000;43,55;193170
БСП ао;W;04/01/16;000000;43,65;80030
БСП ао;W;11/01/16;000000;42,2;976400
БСП ао;W;18/01/16;000000;41;873080
БСП ао;W;25/01/16;000000;42,5;940270
БСП ао;W;01/02/16;000000;42,7;406220
БСП ао;W;08/02/16;000000;42,7;836150
БСП ао;W;15/02/16;000000;43,15;2036810
БСП ао;W;22/02/16;000000;42,5;1716560
БСП ао;W;29/02/16;000000;42,2;511510
БСП ао;W;07/03/16;000000;42,35;365370
БСП ао;W;14/03/16;000000;44,25;1028280
БСП ао;W;21/03/16;000000;44,05;2080140
БСП ао;W;28/03/16;000000;46,9;1633710
БСП ао;W;04/04/16;000000;53;1318230
БСП ао;W;11/04/16;000000;55;647600
БСП ао;W;18/04/16;000000;52,65;579440
БСП ао;W;25/04/16;000000;52,4;942210
БСП ао;W;02/05/16;000000;52,2;108310
БСП ао;W;09/05/16;000000;52,9;558460
БСП ао;W;16/05/16;000000;52,95;2222960
БСП ао;W;23/05/16;000000;56,7;591930
БСП ао;W;30/05/16;000000;56,6;882590
БСП ао;W;06/06/16;000000;55,65;314530
БСП ао;W;13/06/16;000000;52,5;521680
БСП ао;W;20/06/16;000000;52,4;675270
БСП ао;W;27/06/16;000000;51,8;367400
БСП ао;W;04/07/16;000000;50,5;367850
БСП ао;W;11/07/16;000000;53,9;244780
БСП ао;W;18/07/16;000000;55,8;562230
БСП ао;W;25/07/16;000000;58,35;450740
БСП ао;W;01/08/16;000000;59,7;658030
БСП ао;W;08/08/16;000000;58,85;431440
БСП ао;W;15/08/16;000000;56,9;414990
БСП ао;W;22/08/16;000000;56,4;1190680
БСП ао;W;29/08/16;000000;56;1286670
БСП ао;W;05/09/16;000000;58,85;2123340
БСП ао;W;12/09/16;000000;56,9;719040
БСП ао;W;19/09/16;000000;59,15;407410
БСП ао;W;26/09/16;000000;58,8;342300
БСП ао;W;03/10/16;000000;58,45;180840
БСП ао;W;10/10/16;000000;57,6;363340
БСП ао;W;17/10/16;000000;57,25;275050
БСП ао;W;24/10/16;000000;57,6;622100
БСП ао;W;31/10/16;000000;56,8;344790
БСП ао;W;07/11/16;000000;55,9;827550
БСП ао;W;14/11/16;000000;55,25;275340
БСП ао;W;21/11/16;000000;56,25;438070
